	-0.32	-0.92	2387
0.16	-0.03	-1.00	4720
0.16	-0.03	-1.00	4724
0.15	-0.03	-0.99	4729
0.15	-0.03	-0.98	4734
0.15	-0.03	-0.98	4740
0.14	-0.03	-0.97	4745
0.14	-0.03	-0.96	4749
0.14	-0.03	-0.96	4754
0.13	-0.03	-0.97	4759
0.13	-0.03	-0.97	4764
0.13	-0.03	-0.97	4769
0.14	-0.03	-0.99	4774
0.14	-0.03	-0.99	4780
0.14	-0.03	-0.99	4784
0.14	-0.03	-1.00	4789
0.14	-0.04	-0.98	4794
0.14	-0.03	-0.97	4799
0.13	-0.03	-0.97	4804
0.12	-0.03	-0.97	4808
0.10	-0.04	-0.98	4813
0.10	-0.03	-0.98	4818
0.11	-0.02	-0.98	4824
0.11	-0.01	-0.98	4829
0.10	-0.01	-0.98	4833
0.11	-0.01	-1.00	4838
0.11	-0.00	-1.00	4843
0.12	-0.00	-1.00	4848
0.12	-0.00	-1.01	4853
0.12	-0.01	-1.00	4858
0.13	-0.01	-1.00	4862
0.13	-0.01	-0.99	4868
0.13	-0.02	-0.98	4873
0.13	-0.02	-0.97	4878
0.14	-0.02	-0.96	4883
0.14	-0.02	-0.95	4888
0.13	-0.02	-0.94	4893
0.13	-0.02	-0.93	4897
0.13	-0.02	-0.94	4902
0.13	-0.02	-0.93	4908
0.13	-0.03	-0.93	4913
0.13	-0.03	-0.93	4918
0.14	-0.04	-0.93	4922
0.15	-0.03	-0.94	4927
0.15	-0.03	-0.94	4932
0.15	-0.03	-0.95	4937
0.15	-0.02	-0.96	4942
0.15	-0.02	-0.96	4946
0.15	-0.02	-0.96	4952
0.14	-0.02	-0.97	4957
0.13	-0.02	-0.96	4962
0.12	-0.02	-0.96	4967
0.12	-0.01	-0.96	4972
0.11	-0.01	-0.96	4977
0.12	-0.01	-0.96	4982
0.12	-0.01	-0.97	4986
0.12	-0.01	-0.98	4992
0.13	-0.02	-0.98	4997
0.13	-0.02	-0.98	5002
0.14	-0.03	-0.98	5007
0.14	-0.03	-0.98	5011
0.13	-0.03	-0.97	5016
0.13	-0.03	-0.97	5021
0.13	-0.03	-0.98	5026
0.13	-0.03	-0.97	5031
0.12	-0.02	-0.97	5036
0.12	-0.02	-0.97	5041
0.12	-0.02	-0.98	5046
0.12	-0.02	-0.98	5051
0.13	-0.02	-0.98	5056
0.13	-0.02	-0.99	5060
0.13	-0.02	-0.99	5065
0.14	-0.02	-1.01	5070
0.14	-0.02	-1.01	5075
0.14	-0.03	-1.01	5081
0.14	-0.03	-1.01	5086
0.14	-0.03	-1.01	5091
0.14	-0.04	-1.00	5095
0.14	-0.03	-1.01	5100
0.14	-0.03	-1.00	5105
0.14	-0.03	-1.00	5110
0.15	-0.03	-0.99	5115
0.14	-0.03	-1.00	5121
0.14	-0.03	-0.99	5125
0.15	-0.02	-0.98	5130
0.14	-0.02	-0.98	5135
0.15	-0.02	-0.98	5140
0.14	-0.03	-0.98	5145
0.14	-0.02	-0.98	5149
0.14	-0.03	-0.98	5154
0.14	-0.03	-0.98	5159
0.15	-0.04	-0.98	5165
0.15	-0.03	-0.98	5170
0.15	-0.03	-0.98	5175
0.16	-0.03	-0.98	5180
0.15	-0.03	-0.98	5184
0.15	-0.02	-0.98	5189
0.15	-0.02	-0.98	5194
0.14	-0.02	-0.98	5199
0.13	-0.02	-0.97	5204
0.13	-0.02	-0.97	5209
0.12	-0.02	-0.97	5214
0.12	-0.02	-0.96	5219
0.12	-0.02	-0.96	5224
0.12	-0.01	-0.96	5229
0.12	-0.01	-0.97	5234
0.13	-0.01	-0.96	5238
0.13	-0.01	-0.96	5243
0.13	-0.00	-0.97	5249
0.14	-0.01	-0.96	5254
0.14	-0.00	-0.96	5259
0.14	-0.00	-0.95	5263
0.13	-0.00	-0.94	5268
0.13	-0.01	-0.94	5273
0.12	-0.01	-0.95	5278
0.12	-0.01	-0.95	5283
0.12	-0.01	-0.95	5287
0.13	-0.01	-0.96	5294
0.14	-0.01	-0.97	5298
0.14	-0.01	-0.97	5303
0.15	-0.02	-0.98	5308
0.16	-0.02	-0.98	5313
0.16	-0.02	-0.98	5318
0.16	-0.02	-0.98	5322
0.16	-0.02	-0.97	5327
0.16	-0.01	-0.97	5332
0.15	-0.02	-0.97	5338
0.15	-0.02	-0.97	5343
0.15	-0.01	-0.97	5348
0.14	-0.02	-0.96	5352
0.14	-0.03	-0.97	5357
0.13	-0.02	-0.97	5362
0.13	-0.02	-0.97	5367
0.14	-0.03	-0.97	5372
0.14	-0.02	-0.97	5377
0.14	-0.02	-0.98	5382
0.14	-0.02	-0.98	5387
0.14	-0.02	-0.99	5392
0.15	-0.02	-0.99	5397
0.14	-0.01	-0.99	5402
0.14	-0.02	-0.98	5407
0.14	-0.01	-0.98	5411
0.14	-0.01	-0.98	5416
0.14	-0.01	-0.98	5422
0.14	-0.01	-0.97	5427
0.14	-0.01	-0.98	5432
0.14	-0.01	-0.98	5436
0.14	-0.02	-0.97	5441
0.14	-0.01	-0.98	5446
0.15	-0.02	-0.97	5451
0.15	-0.01	-0.97	5456
0.15	-0.02	-0.97	5462
0.14	-0.02	-0.97	5466
0.15	-0.02	-0.96	5471
0.14	-0.02	-0.96	5476
0.14	-0.02	-0.96	5481
0.14	-0.02	-0.97	5486
0.14	-0.02	-0.96	5490
0.14	-0.02	-0.97	5495
0.13	-0.02	-0.97	5500
0.14	-0.02	-0.97	5506
0.14	-0.01	-0.97	5511
0.14	-0.00	-0.98	5516
0.14	-0.00	-0.97	5521
0.14	0.00	-0.97	5525
0.15	-0.00	-0.97	5530
0.15	-0.01	-0.97	5535
0.15	-0.01	-0.96	5540
0.14	-0.01	-0.96	5545
0.14	-0.02	-0.96	5551
0.13	-0.02	-0.96	5555
0.13	-0.02	-0.95	5560
0.13	-0.02	-0.95	5565
0.13	-0.02	-0.95	5570
0.14	-0.01	-0.96	5575
0.14	-0.01	-0.97	5579
0.14	-0.01	-0.97	5584
0.14	-0.00	-0.97	5590
0.15	-0.01	-0.97	5595
0.14	-0.01	-0.96	5600
0.14	-0.01	-0.96	5604
0.14	-0.01	-0.96	5609
0.14	-0.02	-0.95	5614
0.14	-0.02	-0.96	5619
0.14	-0.02	-0.96	5624
0.13	-0.02	-0.96	5629
0.14	-0.02	-0.96	5635
0.13	-0.02	-0.97	5639
0.13	-0.01	-0.97	5644
0.14	-0.01	-0.97	5649
0.14	-0.02	-0.97	5654
0.14	-0.01	-0.97	5659
0.14	-0.01	-0.97	5663
0.14	-0.01	-0.97	5668
0.15	-0.01	-0.97	5673
0.14	-0.02	-0.96	5679
0.14	-0.02	-0.96	5684
0.14	-0.01	-0.96	5688
0.14	-0.01	-0.96	5693
0.14	-0.01	-0.96	5698
0.14	-0.01	-0.96	5703
0.14	-0.01	-0.96	5708
0.14	-0.01	-0.96	5713
0.14	-0.01	-0.96	5719
0.14	-0.01	-0.96	5724
0.15	-0.01	-0.96	5728
0.14	-0.01	-0.96	5733
0.15	-0.01	-0.95	5738
0.15	-0.01	-0.95	5743
0.14	-0.01	-0.95	5748
0.14	-0.02	-0.95	5752
0.14	-0.02	-0.95	5757
0.14	-0.02	-0.95	5763
0.13	-0.02	-0.95	5768
0.14	-0.02	-0.96	5773
0.14	-0.02	-0.96	5777
0.15	-0.02	-0.97	5782
0.15	-0.02	-0.98	5787
0.16	-0.02	-0.98	5792
0.16	-0.02	-0.98	5797
0.16	-0.02	-0.98	5801
0.16	-0.02	-0.98	5807
0.15	-0.02	-0.97	5812
0.15	-0.02	-0.96	5817
0.14	-0.02	-0.96	5822
0.14	-0.02	-0.96	5827
0.13	-0.02	-0.96	5832
0.12	-0.02	-0.96	5836
0.13	-0.03	-0.96	5841
0.13	-0.03	-0.98	5847
0.13	-0.03	-0.98	5852
0.14	-0.03	-0.99	5857
0.15	-0.02	-0.99	5861
0.15	-0.02	-0.99	5866
0.15	-0.02	-0.99	5871
0.15	-0.02	-0.98	5876
